Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;02070 Salobre;Ambos sexos;Personas;463
Total Nacional;02070 Salobre;Hombres;Personas;245
Total Nacional;02070 Salobre;Mujeres;Personas;218
Total Nacional;02071 San Pedro;Ambos sexos;Personas;1.152
Total Nacional;02071 San Pedro;Hombres;Personas;599
Total Nacional;02071 San Pedro;Mujeres;Personas;553
Total Nacional;02072 Socovos;Ambos sexos;Personas;1.738
Total Nacional;02072 Socovos;Hombres;Personas;898
Total Nacional;02072 Socovos;Mujeres;Personas;840
Total Nacional;02073 Tarazona de la Mancha;Ambos sexos;Personas;6.210
Total Nacional;02073 Tarazona de la Mancha;Hombres;Personas;3.188
Total Nacional;02073 Tarazona de la Mancha;Mujeres;Personas;3.022
Total Nacional;02074 Tobarra;Ambos sexos;Personas;7.700
Total Nacional;02074 Tobarra;Hombres;Personas;3.980
Total Nacional;02074 Tobarra;Mujeres;Personas;3.720
Total Nacional;02075 Valdeganga;Ambos sexos;Personas;1.956
Total Nacional;02075 Valdeganga;Hombres;Personas;1.005
Total Nacional;02075 Valdeganga;Mujeres;Personas;951
Total Nacional;02076 Vianos;Ambos sexos;Personas;327
Total Nacional;02076 Vianos;Hombres;Personas;170
Total Nacional;02076 Vianos;Mujeres;Personas;157
Total Nacional;02077 Villa de Ves;Ambos sexos;Personas;61
Total Nacional;02077 Villa de Ves;Hombres;Personas;35
Total Nacional;02077 Villa de Ves;Mujeres;Personas;26
Total Nacional;02078 Villalgordo del Júcar;Ambos sexos;Personas;1.089
Total Nacional;02078 Villalgordo del Júcar;Hombres;Personas;582
Total Nacional;02078 Villalgordo del Júcar;Mujeres;Personas;507
Total Nacional;02079 Villamalea;Ambos sexos;Personas;4.029
Total Nacional;02079 Villamalea;Hombres;Personas;2.060
Total Nacional;02079 Villamalea;Mujeres;Personas;1.969
Total Nacional;02080 Villapalacios;Ambos sexos;Personas;554
Total Nacional;02080 Villapalacios;Hombres;Personas;285
Total Nacional;02080 Villapalacios;Mujeres;Personas;269
Total Nacional;02081 Villarrobledo;Ambos sexos;Personas;25.037
Total Nacional;02081 Villarrobledo;Hombres;Personas;12.412
Total Nacional;02081 Villarrobledo;Mujeres;Personas;12.625
Total Nacional;02082 Villatoya;Ambos sexos;Personas;108
Total Nacional;02082 Villatoya;Hombres;Personas;63
Total Nacional;02082 Villatoya;Mujeres;Personas;45
Total Nacional;02083 Villavaliente;Ambos sexos;Personas;216
Total Nacional;02083 Villavaliente;Hombres;Personas;131
Total Nacional;02083 Villavaliente;Mujeres;Personas;85
Total Nacional;02084 Villaverde de Guadalimar;Ambos sexos;Personas;334
Total Nacional;02084 Villaverde de Guadalimar;Hombres;Personas;184
Total Nacional;02084 Villaverde de Guadalimar;Mujeres;Personas;150
Total Nacional;02085 Viveros;Ambos sexos;Personas;332
Total Nacional;02085 Viveros;Hombres;Personas;174
Total Nacional;02085 Viveros;Mujeres;Personas;158
Total Nacional;02086 Yeste;Ambos sexos;Personas;2.584
Total Nacional;02086 Yeste;Hombres;Personas;1.344
Total Nacional;02086 Yeste;Mujeres;Personas;1.240
Total Nacional;03002 Agost;Ambos sexos;Personas;4.909
Total Nacional;03002 Agost;Hombres;Personas;2.477
Total Nacional;03002 Agost;Mujeres;Personas;2.432
Total Nacional;03003 Agres;Ambos sexos;Personas;582
Total Nacional;03003 Agres;Hombres;Personas;319
Total Nacional;03003 Agres;Mujeres;Personas;263
Total Nacional;03004 Aigües;Ambos sexos;Personas;1.045
Total Nacional;03004 Aigües;Hombres;Personas;545
Total Nacional;03004 Aigües;Mujeres;Personas;500
Total Nacional;03005 Albatera;Ambos sexos;Personas;12.704
Total Nacional;03005 Albatera;Hombres;Personas;6.420
Total Nacional;03005 Albatera;Mujeres;Personas;6.284
Total Nacional;03006 Alcalalí;Ambos sexos;Personas;1.321
Total Nacional;03006 Alcalalí;Hombres;Personas;658
Total Nacional;03006 Alcalalí;Mujeres;Personas;663
Total Nacional;03007 Alcosser;Ambos sexos;Personas;245
Total Nacional;03007 Alcosser;Hombres;Personas;119
Total Nacional;03007 Alcosser;Mujeres;Personas;126
Total Nacional;03008 Alcoleja;Ambos sexos;Personas;186
Total Nacional;03008 Alcoleja;Hombres;Personas;101
Total Nacional;03008 Alcoleja;Mujeres;Personas;85
Total Nacional;03009 Alcoi/Alcoy;Ambos sexos;Personas;59.187
Total Nacional;03009 Alcoi/Alcoy;Hombres;Personas;29.013
Total Nacional;03009 Alcoi/Alcoy;Mujeres;Personas;30.174
Total Nacional;03010 Alfafara;Ambos sexos;Personas;408
Total Nacional;03010 Alfafara;Hombres;Personas;196
Total Nacional;03010 Alfafara;Mujeres;Personas;212
Total Nacional;03011 Alfàs del Pi, l';Ambos sexos;Personas;19.615
Total Nacional;03011 Alfàs del Pi, l';Hombres;Personas;9.691
Total Nacional;03011 Alfàs del Pi, l';Mujeres;Personas;9.924
Total Nacional;03012 Algorfa;Ambos sexos;Personas;3.459
Total Nacional;03012 Algorfa;Hombres;Personas;1.758
